"Order_Date","Row_ID","Order_ID","Ship_Mode","Customer_ID","Segment","Country","City","State","Postal_Code","Region","Product_ID","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"2020-04-15",13,CA-2017-114412,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
"2020-10-19",35,CA-2017-107727,Second Class,MA-17560,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468
"2020-09-10",42,CA-2017-120999,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564
"2020-09-19",44,CA-2017-139619,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616
"2020-09-14",72,CA-2017-114440,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0.0,8.763
"2020-12-09",78,US-2017-118038,First Class,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724
"2020-05-28",86,CA-2017-140088,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0.0,33.2156
"2020-10-26",87,CA-2017-155558,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0.0,6.7966
"2020-10-26",88,CA-2017-155558,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0.0,2.9568
"2020-11-09",97,CA-2017-161018,Second Class,PN-18775,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0.0,40.5426
"2020-06-17",98,CA-2017-157833,First Class,KD-16345,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592
"2020-11-23",107,CA-2017-119004,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016
"2020-11-23",108,CA-2017-119004,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994
"2020-11-23",109,CA-2017-119004,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738
"2020-12-25",111,CA-2017-146780,Standard Class,CV-12805,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0.0,10.9096
"2020-11-05",128,US-2017-107272,Standard Class,TS-21610,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,243.992,7,0.2,30.499
"2020-02-02",132,US-2017-164147,First Class,DW-13585,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2,0.2,29.364
"2020-02-02",133,US-2017-164147,First Class,DW-13585,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,9,0.2,6.9732
"2020-09-18",142,CA-2017-106180,Standard Class,SH-19975,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,8.82,3,0.0,2.3814
"2020-09-18",143,CA-2017-106180,Standard Class,SH-19975,Corporate,United States,San Francisco,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86,3,0.0,5.1042
"2020-09-18",144,CA-2017-106180,Standard Class,SH-19975,Corporate,United States,San Francisco,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,143.7,3,0.0,68.976
"2020-12-22",145,CA-2017-155376,Standard Class,SG-20080,Consumer,United States,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,839.43,3,0.0,218.2518
"2020-11-06",198,CA-2017-107720,Standard Class,VM-21685,Home Office,United States,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,46.26,3,0.0,12.0276
"2020-07-06",200,US-2017-124303,Standard Class,FH-14365,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,Paper,16.056,3,0.2,5.8203
"2020-06-24",201,CA-2017-105074,Standard Class,MB-17305,Consumer,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,Paper,21.744,3,0.2,6.795
"2020-06-03",205,CA-2017-126382,Standard Class,HK-14890,Corporate,United States,Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,35.168,7,0.2,9.6712
"2020-12-09",206,CA-2017-108329,Standard Class,LE-16810,Consumer,United States,Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,444.768,4,0.2,44.4768
"2020-12-01",207,CA-2017-135860,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,83.92,4,0.0,5.8744
"2020-12-01",208,CA-2017-135860,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,131.98,2,0.0,35.6346
"2020-12-01",209,CA-2017-135860,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-BI-10003274,Office Supplies,Binders,15.92,4,0.0,7.4824
"2020-12-01",210,CA-2017-135860,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,Fasteners,52.29,9,0.0,16.2099
"2020-12-01",211,CA-2017-135860,Standard Class,JH-15985,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10001522,Office Supplies,Storage,91.99,1,0.0,3.6796
"2020-11-12",237,CA-2017-160514,Standard Class,DB-13120,Corporate,United States,Santa Clara,California,95051,West,OFF-PA-10002479,Office Supplies,Paper,10.56,2,0.0,4.752
"2020-12-01",259,CA-2017-163139,Second Class,CC-12670,Consumer,United States,New York City,New York,10009,East,TEC-AC-10000290,Technology,Accessories,20.37,3,0.0,6.9258
"2020-12-01",260,CA-2017-163139,Second Class,CC-12670,Consumer,United States,New York City,New York,10009,East,OFF-ST-10002790,Office Supplies,Storage,221.55,3,0.0,6.6465
"2020-12-01",261,CA-2017-163139,Second Class,CC-12670,Consumer,United States,New York City,New York,10009,East,OFF-BI-10003460,Office Supplies,Binders,17.52,5,0.2,6.132
"2020-06-16",267,CA-2017-136826,Standard Class,CB-12535,Corporate,United States,Chapel Hill,North Carolina,27514,South,OFF-AR-10003602,Office Supplies,Art,14.016,3,0.2,4.7304
"2020-12-09",270,US-2017-145366,Standard Class,CA-12310,Corporate,United States,Cincinnati,Ohio,45231,East,OFF-EN-10004386,Office Supplies,Envelopes,57.576,3,0.2,21.591
"2020-12-28",271,CA-2017-163979,Second Class,KH-16690,Corporate,United States,San Francisco,California,94110,West,OFF-ST-10003208,Office Supplies,Storage,725.84,4,0.0,210.4936
"2020-09-16",275,CA-2017-118136,First Class,BB-10990,Corporate,United States,Inglewood,California,90301,West,OFF-PA-10002615,Office Supplies,Paper,8.82,2,0.0,4.0572
"2020-09-16",276,CA-2017-118136,First Class,BB-10990,Corporate,United States,Inglewood,California,90301,West,OFF-AR-10001427,Office Supplies,Art,5.98,1,0.0,1.5548
"2020-10-13",277,CA-2017-132976,Standard Class,AG-10495,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10000673,Office Supplies,Paper,11.648,2,0.2,4.0768
"2020-10-13",278,CA-2017-132976,Standard Class,AG-10495,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10004470,Office Supplies,Paper,18.176,4,0.2,5.9072
"2020-10-13",279,CA-2017-132976,Standard Class,AG-10495,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10000876,Office Supplies,Storage,59.712,6,0.2,5.9712
"2020-10-13",280,CA-2017-132976,Standard Class,AG-10495,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-LA-10002043,Office Supplies,Labels,24.84,3,0.2,8.694
"2020-04-15",309,CA-2017-126774,First Class,SH-20395,Consumer,United States,Arlington,Virginia,22204,South,OFF-AR-10002804,Office Supplies,Art,4.89,1,0.0,2.0049
"2020-11-03",326,CA-2017-153339,Second Class,DJ-13510,Corporate,United States,Murfreesboro,Tennessee,37130,South,FUR-FU-10001967,Furniture,Furnishings,15.992,1,0.2,0.9995
"2020-06-15",346,CA-2017-169901,Standard Class,CC-12550,Consumer,United States,San Francisco,California,94122,West,TEC-PH-10002293,Technology,Phones,47.976,3,0.2,4.7976
"2020-07-08",347,CA-2017-134306,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-AR-10004027,Office Supplies,Art,7.56,3,0.0,3.0996
"2020-07-08",348,CA-2017-134306,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-PA-10000249,Office Supplies,Paper,24.56,2,0.0,11.5432
"2020-07-08",349,CA-2017-134306,Standard Class,TD-20995,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-AR-10001374,Office Supplies,Art,12.96,2,0.0,4.1472
"2020-03-08",360,CA-2017-155698,First Class,VB-21745,Corporate,United States,Columbus,Georgia,31907,South,OFF-AP-10001124,Office Supplies,Appliances,647.84,8,0.0,168.4384
"2020-03-08",361,CA-2017-155698,First Class,VB-21745,Corporate,United States,Columbus,Georgia,31907,South,OFF-LA-10001158,Office Supplies,Labels,20.7,2,0.0,9.936
"2020-09-25",362,CA-2017-144904,Standard Class,KW-16435,Consumer,United States,New York City,New York,10009,East,OFF-LA-10001158,Office Supplies,Labels,20.7,2,0.0,9.936
"2020-09-25",363,CA-2017-144904,Standard Class,KW-16435,Consumer,United States,New York City,New York,10009,East,FUR-CH-10000785,Furniture,Chairs,488.646,3,0.1,86.8704
"2020-09-25",364,CA-2017-144904,Standard Class,KW-16435,Consumer,United States,New York City,New York,10009,East,OFF-AR-10003732,Office Supplies,Art,5.56,2,0.0,1.4456
"2020-09-25",365,CA-2017-144904,Standard Class,KW-16435,Consumer,United States,New York City,New York,10009,East,FUR-FU-10000023,Furniture,Furnishings,47.12,8,0.0,20.7328
"2020-05-29",371,CA-2017-104745,Standard Class,GT-14755,Consumer,United States,Harlingen,Texas,78550,Central,OFF-PA-10002036,Office Supplies,Paper,25.92,5,0.2,9.396
"2020-05-29",372,CA-2017-104745,Standard Class,GT-14755,Consumer,United States,Harlingen,Texas,78550,Central,OFF-ST-10002205,Office Supplies,Storage,53.424,3,0.2,4.6746
"2020-12-11",390,CA-2017-101798,Standard Class,MV-18190,Consumer,United States,New York City,New York,10009,East,OFF-BI-10000050,Office Supplies,Binders,23.36,4,0.2,7.884
"2020-12-11",391,CA-2017-101798,Standard Class,MV-18190,Consumer,United States,New York City,New York,10009,East,TEC-AC-10001998,Technology,Accessories,39.98,2,0.0,13.5932
"2020-06-30",395,CA-2017-102946,Standard Class,VP-21730,Home Office,United States,Las Vegas,Nevada,89115,West,OFF-BI-10004492,Office Supplies,Binders,75.792,3,0.2,25.5798
"2020-10-17",396,CA-2017-165603,Second Class,SS-20140,Corporate,United States,Warwick,Rhode Island,2886,East,OFF-ST-10000798,Office Supplies,Storage,49.96,2,0.0,9.4924
"2020-10-17",397,CA-2017-165603,Second Class,SS-20140,Corporate,United States,Warwick,Rhode Island,2886,East,OFF-PA-10002552,Office Supplies,Paper,12.96,2,0.0,6.2208
"2020-12-24",405,CA-2017-117933,Standard Class,RF-19840,Consumer,United States,New York City,New York,10024,East,OFF-AP-10004249,Office Supplies,Appliances,35.91,3,0.0,9.6957
"2020-12-08",406,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,TEC-AC-10000158,Technology,Accessories,179.95,5,0.0,37.7895
"2020-12-08",407,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,TEC-CO-10004115,Technology,Copiers,1199.976,3,0.2,434.9913
"2020-12-08",408,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,OFF-PA-10003724,Office Supplies,Paper,27.15,5,0.0,13.3035
"2020-12-08",410,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,OFF-PA-10002893,Office Supplies,Paper,9.68,1,0.0,4.6464
"2020-12-08",411,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,OFF-LA-10003766,Office Supplies,Labels,28.35,9,0.0,13.608
"2020-12-08",412,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,OFF-PA-10001970,Office Supplies,Paper,55.98,1,0.0,27.4302
"2020-12-08",413,CA-2017-117457,Standard Class,KH-16510,Consumer,United States,San Francisco,California,94110,West,FUR-BO-10001972,Furniture,Bookcases,1336.829,13,0.15,31.4548
"2020-11-03",415,CA-2017-142636,Standard Class,KC-16675,Corporate,United States,Seattle,Washington,98105,West,OFF-PA-10000157,Office Supplies,Paper,139.86,7,0.0,65.7342
"2020-11-03",416,CA-2017-142636,Standard Class,KC-16675,Corporate,United States,Seattle,Washington,98105,West,FUR-CH-10001891,Furniture,Chairs,307.136,4,0.2,26.8744
"2020-06-24",417,CA-2017-122105,Standard Class,CJ-12010,Consumer,United States,Huntington Beach,California,92646,West,OFF-AR-10004344,Office Supplies,Art,95.92,8,0.0,25.8984
"2020-11-06",419,CA-2017-154816,Standard Class,VB-21745,Corporate,United States,Richmond,Kentucky,40475,South,OFF-PA-10003845,Office Supplies,Paper,5.78,1,0.0,2.8322
"2020-03-04",420,CA-2017-110478,Standard Class,SP-20860,Corporate,United States,Los Angeles,California,90045,West,OFF-AR-10001573,Office Supplies,Art,9.32,4,0.0,2.7028
"2020-03-04",421,CA-2017-110478,Standard Class,SP-20860,Corporate,United States,Los Angeles,California,90045,West,OFF-EN-10000483,Office Supplies,Envelopes,15.25,1,0.0,7.015
"2020-10-19",423,CA-2017-125388,Standard Class,MP-17965,Corporate,United States,Lawrence,Massachusetts,1841,East,FUR-FU-10004712,Furniture,Furnishings,56.56,4,0.0,14.7056
"2020-10-19",424,CA-2017-125388,Standard Class,MP-17965,Corporate,United States,Lawrence,Massachusetts,1841,East,OFF-ST-10000918,Office Supplies,Storage,32.7,3,0.0,8.502
"2020-08-21",425,CA-2017-155705,Second Class,NF-18385,Consumer,United States,Jackson,Mississippi,39212,South,FUR-CH-10000015,Furniture,Chairs,866.4,4,0.0,225.264
