"first_order","0","1","2","3","4","5","6","7","8","9","10","11"
"2020-01",155,5,19,24,17,6,27,15,33,21,33,44
"2020-02",99,7,11,16,22,13,15,30,21,27,32,0
"2020-03",212,27,34,25,27,19,84,34,52,55,0,0
"2020-04",141,26,33,29,21,56,34,38,59,0,0,0
"2020-05",146,20,31,32,32,18,60,36,0,0,0,0
"2020-06",131,10,31,39,32,31,34,0,0,0,0,0
"2020-07",89,17,27,24,18,19,0,0,0,0,0,0
"2020-08",67,25,10,21,24,0,0,0,0,0,0,0
"2020-09",132,15,29,21,0,0,0,0,0,0,0,0
"2020-10",89,12,26,0,0,0,0,0,0,0,0,0
"2020-11",125,27,0,0,0,0,0,0,0,0,0,0
"2020-12",84,0,0,0,0,0,0,0,0,0,0,0
