"first_order","0","1","2","3","4","5","6","7","8","9","10","11"
"2020-01",1.0000,0.0323,0.1226,0.1548,0.1097,0.0387,0.1742,0.0968,0.2129,0.1355,0.2129,0.2839
"2020-02",1.0000,0.0707,0.1111,0.1616,0.2222,0.1313,0.1515,0.3030,0.2121,0.2727,0.3232,0.0000
"2020-03",1.0000,0.1274,0.1604,0.1179,0.1274,0.0896,0.3962,0.1604,0.2453,0.2594,0.0000,0.0000
"2020-04",1.0000,0.1844,0.2340,0.2057,0.1489,0.3972,0.2411,0.2695,0.4184,0.0000,0.0000,0.0000
"2020-05",1.0000,0.1370,0.2123,0.2192,0.2192,0.1233,0.4110,0.2466,0.0000,0.0000,0.0000,0.0000
"2020-06",1.0000,0.0763,0.2366,0.2977,0.2443,0.2366,0.2595,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-07",1.0000,0.1910,0.3034,0.2697,0.2022,0.2135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-08",1.0000,0.3731,0.1493,0.3134,0.3582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-09",1.0000,0.1136,0.2197,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-10",1.0000,0.1348,0.2921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-11",1.0000,0.2160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"2020-12",1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
