"state","sales","quantity","profit"
Alabama,1820.72,56,492.939
Arizona,11133.537,258,-1276.003
Arkansas,2590.02,68,900.974
California,146316.51,2625,29327.809
Colorado,10299.813,240,-4435.848
Connecticut,5307.21,104,1479.762
Delaware,13754.983,83,6053.205
District of Columbia,77.76,8,35.064
Florida,26423.98,410,236.869
Georgia,19160.02,235,6447.982
Idaho,1233.548,26,199.009
Illinois,24351.611,632,-6745.56
Indiana,18516.45,229,5139.526
Iowa,716.41,51,275.864
Kansas,733.15,19,263.364
Kentucky,15672.136,193,4752.945
Louisiana,5501.55,50,1212.904
Maryland,9451.6,156,2780.607
Massachusetts,8143.076,137,1710.587
Michigan,25833.649,258,8487.762
Minnesota,6719.61,135,2457.373
Mississippi,2997.24,59,1028.562
Missouri,9350.8,113,1733.43
Montana,4229.28,18,1465.926
Nebraska,3579.35,31,921.03
Nevada,3138.158,28,305.195
New Hampshire,1509.43,39,480.214
New Jersey,9483.55,140,2266.071
New Mexico,2818.558,98,827.39
New York,93909.235,1317,24350.742
North Carolina,21573.105,327,-5015.483
North Dakota,919.91,30,230.15
Ohio,22999.778,596,-1686.61
Oklahoma,6225.91,64,1754.752
Oregon,2886.593,109,-377.126
Pennsylvania,42683.35,709,-5109.004
Rhode Island,2834.37,69,307.374
South Carolina,1560.75,35,294.638
South Dakota,1153.41,32,346.072
Tennessee,16050.115,289,-3333.244
Texas,42674.1,1116,-8846.394
Utah,2460.638,54,477.175
Vermont,842.21,16,263.976
Virginia,7600.2,162,1806.015
Washington,65384.506,787,17196.742
West Virginia,1209.824,18,185.922
Wisconsin,6132.69,127,1670.461
