"Sub-Category","1","2","3","4","5","6","7","8","9","10","11"
Accessories,12,26,15,17,15,15,7,17,14,5,6
Appliances,13,11,8,7,7,12,11,9,1,4,4
Art,18,19,26,13,13,22,14,11,7,3,3
Binders,27,37,33,32,29,33,21,32,15,9,7
Bookcases,6,4,9,2,2,5,3,1,3,2,1
Chairs,9,17,7,13,6,21,12,14,3,4,2
Copiers,2,2,0,2,1,1,0,1,2,1,0
Envelopes,1,4,8,3,2,9,5,4,0,1,0
Fasteners,5,7,4,1,5,3,1,2,2,0,2
Furnishings,18,24,25,19,15,23,18,10,14,9,2
Labels,9,11,5,6,4,7,7,4,3,2,0
Machines,1,2,1,2,3,2,2,2,0,1,0
Paper,26,29,34,32,22,45,22,20,12,10,9
Phones,16,27,23,11,14,25,12,9,10,6,1
Storage,17,18,21,18,13,15,11,21,11,5,5
Supplies,5,5,6,3,6,3,2,2,2,0,1
Tables,6,8,6,12,5,13,5,6,4,3,1
