"Sub-Category","1","2","3","4","5","6","7","8","9","10","11"
Accessories,0.0968,0.2097,0.1210,0.1371,0.1210,0.1210,0.0565,0.1371,0.1129,0.0403,0.0484
Appliances,0.1667,0.1410,0.1026,0.0897,0.0897,0.1538,0.1410,0.1154,0.0128,0.0513,0.0513
Art,0.1364,0.1439,0.1970,0.0985,0.0985,0.1667,0.1061,0.0833,0.0530,0.0227,0.0227
Binders,0.1250,0.1713,0.1528,0.1481,0.1343,0.1528,0.0972,0.1481,0.0694,0.0417,0.0324
Bookcases,0.1579,0.1053,0.2368,0.0526,0.0526,0.1316,0.0789,0.0263,0.0789,0.0526,0.0263
Chairs,0.1111,0.2099,0.0864,0.1605,0.0741,0.2593,0.1481,0.1728,0.0370,0.0494,0.0247
Copiers,0.2000,0.2000,0.0000,0.2000,0.1000,0.1000,0.0000,0.1000,0.2000,0.1000,0.0000
Envelopes,0.0294,0.1176,0.2353,0.0882,0.0588,0.2647,0.1471,0.1176,0.0000,0.0294,0.0000
Fasteners,0.1613,0.2258,0.1290,0.0323,0.1613,0.0968,0.0323,0.0645,0.0645,0.0000,0.0645
Furnishings,0.1314,0.1752,0.1825,0.1387,0.1095,0.1679,0.1314,0.0730,0.1022,0.0657,0.0146
Labels,0.1698,0.2075,0.0943,0.1132,0.0755,0.1321,0.1321,0.0755,0.0566,0.0377,0.0000
Machines,0.0588,0.1176,0.0588,0.1176,0.1765,0.1176,0.1176,0.1176,0.0000,0.0588,0.0000
Paper,0.1320,0.1472,0.1726,0.1624,0.1117,0.2284,0.1117,0.1015,0.0609,0.0508,0.0457
Phones,0.1176,0.1985,0.1691,0.0809,0.1029,0.1838,0.0882,0.0662,0.0735,0.0441,0.0074
Storage,0.1328,0.1406,0.1641,0.1406,0.1016,0.1172,0.0859,0.1641,0.0859,0.0391,0.0391
Supplies,0.2083,0.2083,0.2500,0.1250,0.2500,0.1250,0.0833,0.0833,0.0833,0.0000,0.0417
Tables,0.1765,0.2353,0.1765,0.3529,0.1471,0.3824,0.1471,0.1765,0.1176,0.0882,0.0294
